,alarm_box_borough,alarm_box_location,alarm_box_number,alarm_level_index_description,alarm_source_description_tx,citycouncildistrict,communitydistrict,communityschooldistrict,congressionaldistrict,dispatch_response_seconds_qy,engines_assigned_quantity,first_activation_datetime,first_assignment_datetime,first_on_scene_datetime,highest_alarm_level,incident_borough,incident_classification,incident_classification_group,incident_close_datetime,incident_datetime,incident_response_seconds_qy,incident_travel_tm_seconds_qy,ladders_assigned_quantity,other_units_assigned_quantity,policeprecinct,starfire_incident_id,valid_dispatch_rspns_time_indc,valid_incident_rspns_time_indc,zipcode,Address,Lat,Lon
176,BROOKLYN,LINDEN BLVD & ROCKAWAY PWAY,2242,Initial Alarm,EMS Link/Medical,42,317,18,9,4,1,2017-12-16T15:00:54.000,2017-12-16T15:00:30.000,NA,First Alarm,BROOKLYN,Medical - EMS Link 10-91,Medical Emergencies,2017-12-16T15:05:32.000,2017-12-16T15:00:26.000,0,0,0,0,67,1.74E+15,N,N,11212,"LINDEN BLVD & ROCKAWAY PWAY, New York, NY 11212",40.6579899,-73.8961789
177,MANHATTAN,IRVING PL & E 19 ST,488,Initial Alarm,EMS Link/Medical,2,106,2,12,7,1,2017-05-15T20:05:26.000,2017-05-15T20:05:02.000,NA,First Alarm,MANHATTAN,Medical - EMS Link 10-91,Medical Emergencies,2017-05-15T20:09:46.000,2017-05-15T20:04:55.000,0,0,0,0,13,1.71E+15,N,N,10003,"IRVING PL & E 19 ST, New York, NY 10003",40.7358757,-73.9874033
178,BRONX,BARNES AVE & E GUN HILL RD,3624,Initial Alarm,EMS Link/Medical,12,212,11,16,6,1,2017-09-11T16:07:49.000,2017-09-11T16:07:22.000,NA,First Alarm,BRONX,Medical - EMS Link 10-91,Medical Emergencies,2017-09-11T16:10:14.000,2017-09-11T16:07:16.000,0,0,0,0,47,1.73E+15,N,N,10467,"BARNES AVE & E GUN HILL RD, New York, NY 10467",40.8768652,-73.8616289
179,BRONX,WEBSTER & NEREID AVES,3981,Initial Alarm,Phone,11,212,11,16,56,0,2017-10-09T08:28:15.000,2017-10-09T08:27:53.000,2017-10-09T08:35:28.000,First Alarm,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-10-09T08:47:34.000,2017-10-09T08:26:57.000,511,455,1,0,47,1.73E+15,N,Y,10470,"WEBSTER & NEREID AVES, New York, NY 10470",40.901063,-73.86156
180,RICHMOND / STATEN ISLAND,AMBOY RD 100' W OF OLD AMBOY RD,3862,Initial Alarm,PD Link/Medical,51,503,31,11,10,1,2017-07-18T12:47:28.000,2017-07-18T12:47:03.000,NA,First Alarm,RICHMOND / STATEN ISLAND,Medical - PD Link 10-91,Medical Emergencies,2017-07-18T12:50:57.000,2017-07-18T12:46:53.000,0,0,0,0,122,1.72E+15,N,N,10312,"AMBOY RD 100' W OF OLD AMBOY RD, New York, NY 10312",40.5437992,-74.1614934
181,BROOKLYN,OCEAN & CHURCH AVES,1543,Initial Alarm,Verbal,40,314,17,9,67,0,2017-08-28T13:33:19.000,2017-08-28T13:32:51.000,2017-08-28T13:42:26.000,First Alarm,BROOKLYN,Vehicle Accident - Other,NonMedical Emergencies,2017-08-28T14:00:43.000,2017-08-28T13:31:44.000,642,575,1,2,70,1.72E+15,N,Y,11226,"OCEAN & CHURCH AVES, New York, NY 11226",40.650088,-73.961011
182,MANHATTAN,8 AVE & 143 ST,1613,Initial Alarm,UCT/911,9,110,5,13,17,2,2017-12-30T19:57:09.000,2017-12-30T19:56:45.000,2017-12-30T19:59:04.000,First Alarm,MANHATTAN,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-12-30T20:13:19.000,2017-12-30T19:56:28.000,156,139,2,1,32,1.74E+15,N,Y,10030,"8 AVE & 143 ST, New York, NY 10030",40.8165192,-73.9465432
183,BROOKLYN,GERRITSEN AVE & FILLMORE AVE,3223,Initial Alarm,EMS Link/Medical,46,315,22,9,5,1,2017-12-08T20:53:13.000,2017-12-08T20:52:30.000,2017-12-08T20:55:39.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-12-08T21:01:54.000,2017-12-08T20:52:25.000,194,189,0,0,61,1.73E+15,N,Y,11229,"GERRITSEN AVE & FILLMORE AVE, New York, NY 11229",40.5978194,-73.9306805
184,BROOKLYN,AVENUE U & STUART ST,3214,Initial Alarm,UCT/911,46,315,22,9,5,0,2017-05-01T17:51:12.000,2017-05-01T17:50:51.000,2017-05-01T17:55:23.000,First Alarm,BROOKLYN,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-05-01T18:22:29.000,2017-05-01T17:50:46.000,277,272,1,0,61,1.71E+15,N,Y,11229,"AVENUE U & STUART ST, New York, NY 11229",40.6003731,-73.9423895
185,BROOKLYN,WILSON AVE & JEFFERSON ST,726,Initial Alarm,EMS Link/Medical,34,304,32,7,9,1,2017-02-07T12:39:51.000,2017-02-07T12:39:23.000,2017-02-07T12:42:03.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-02-07T12:50:58.000,2017-02-07T12:39:14.000,169,160,0,0,83,1.70E+15,N,Y,11237,"WILSON AVE & JEFFERSON ST, New York, NY 11237",40.702196,-73.928351
186,QUEENS,VAN WYCK EXPY- QUEENS BLVD TO JAMAICA AV,8493,Initial Alarm,PD Link/Medical,NA,NA,NA,NA,50,2,2017-10-23T18:56:55.000,2017-10-23T18:56:33.000,2017-10-23T19:01:14.000,First Alarm,QUEENS,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-10-23T19:21:08.000,2017-10-23T18:55:43.000,331,281,2,1,NA,1.73E+15,N,Y,NA,"VAN WYCK EXPY- QUEENS BLVD TO JAMAICA AV, New York, NY NA",40.7058719,-73.8173264
187,QUEENS,JAMAICA AVE & 218 ST,5425,Initial Alarm,UCT/911,23,413,29,5,14,0,2017-01-26T17:53:54.000,2017-01-26T17:53:42.000,2017-01-26T17:58:24.000,First Alarm,QUEENS,Utility Emergency - Water,NonMedical Emergencies,2017-01-26T18:06:17.000,2017-01-26T17:53:28.000,296,282,1,0,105,1.70E+15,N,Y,11428,"JAMAICA AVE & 218 ST, New York, NY 11428",40.7022991,-73.8038488
188,QUEENS,GCP BTW CROSS IS PWAY AND CITY LINE,8372,Initial Alarm,PD Link/Medical,NA,NA,NA,NA,28,3,2017-06-26T12:57:30.000,2017-06-26T12:57:11.000,2017-06-26T13:03:48.000,First Alarm,QUEENS,Vehicle Accident - Other,NonMedical Emergencies,2017-06-26T13:20:40.000,2017-06-26T12:56:43.000,425,397,2,2,NA,1.72E+15,N,Y,NA,"GCP BTW CROSS IS PWAY AND CITY LINE, New York, NY NA",40.6762144,-73.8870806
189,BROOKLYN,SARATOGA AVE & PARK PL,1645,Initial Alarm,EMS Link/Medical,41,316,23,9,6,1,2017-05-06T19:20:24.000,2017-05-06T19:20:00.000,2017-05-06T19:23:34.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-05-06T19:33:08.000,2017-05-06T19:19:54.000,220,214,0,0,73,1.71E+15,N,Y,11233,"SARATOGA AVE & PARK PL, New York, NY 11233",40.671607,-73.916948
190,RICHMOND / STATEN ISLAND,WESTBROOK AVE & MORNINGSTAR RD,926,DEFAULT RECORD,BARS,NA,NA,NA,NA,7,1,2017-08-22T00:45:25.000,2017-08-22T00:45:03.000,2017-08-22T00:49:31.000,First Alarm,RICHMOND / STATEN ISLAND,Non-Medical MFA - BARS,NonMedical MFAs,2017-08-22T00:53:38.000,2017-08-22T00:44:56.000,275,268,0,0,NA,1.72E+15,N,Y,NA,"WESTBROOK AVE & MORNINGSTAR RD, New York, NY NA",40.62614,-74.148543
191,MANHATTAN,W 144 ST & LENOX AVE\MALCOLM X BLVD,1617,Initial Alarm,EMS Link/Medical,9,110,5,13,2623,1,2017-09-23T09:28:20.000,2017-09-23T09:27:52.000,NA,First Alarm,MANHATTAN,Medical - EMS Link 10-91,Medical Emergencies,2017-09-23T09:31:09.000,2017-09-23T08:44:09.000,0,0,0,0,32,1.73E+15,N,N,10030,"W 144 ST & LENOX AVE\MALCOLM X BLVD, New York, NY 10030",40.8226338,-73.94351
192,MANHATTAN,8 AVE & 123 ST,1455,Initial Alarm,EMS Link/Medical,9,110,5,13,6,1,2017-03-13T14:11:59.000,2017-03-13T14:10:59.000,2017-03-13T14:14:47.000,First Alarm,MANHATTAN,Medical - Assist Civilian,Medical Emergencies,2017-03-13T14:15:22.000,2017-03-13T14:10:53.000,234,228,0,0,28,1.71E+15,N,Y,10027,"8 AVE & 123 ST, New York, NY 10027",40.8165192,-73.9465432
193,QUEENS,91 AVE & 146 ST,9829,Initial Alarm,EMS Link/Medical,24,412,28,5,7,1,2017-10-07T09:01:53.000,2017-10-07T09:01:32.000,2017-10-07T09:06:22.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-10-07T09:18:30.000,2017-10-07T09:01:25.000,297,290,0,0,103,1.73E+15,N,Y,11435,"91 AVE & 146 ST, New York, NY 11435",40.701057,-73.808873
194,BROOKLYN,AVENUE N & OCEAN PWAY,2978,Initial Alarm,EMS Link/Medical,44,312,21,10,6,1,2017-11-10T12:44:08.000,2017-11-10T12:43:42.000,2017-11-10T12:48:33.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-11-10T12:58:56.000,2017-11-10T12:43:36.000,297,291,0,0,66,1.73E+15,N,Y,11230,"AVENUE N & OCEAN PWAY, New York, NY 11230",40.614622,-73.968682
195,RICHMOND / STATEN ISLAND,RICHMOND TERRACE AND MORNINGSTAR RD,936,Initial Alarm,Verbal,NA,NA,NA,NA,25,0,2017-08-21T12:02:12.000,2017-08-21T12:02:12.000,NA,First Alarm,RICHMOND / STATEN ISLAND,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-08-21T12:13:28.000,2017-08-21T12:01:47.000,0,0,0,2,NA,1.72E+15,N,N,NA,"RICHMOND TERRACE AND MORNINGSTAR RD, New York, NY NA",40.6379338,-74.144787
196,BROOKLYN,DUMONT AVE & BRADFORD ST,2008,Initial Alarm,UCT/911,42,305,19,8,35,3,2017-11-21T10:04:04.000,2017-11-21T10:03:49.000,2017-11-21T10:07:19.000,First Alarm,BROOKLYN,Utility Emergency - Electric,NonMedical Emergencies,2017-11-21T10:36:56.000,2017-11-21T10:03:14.000,245,210,2,1,75,1.73E+15,N,Y,11207,"DUMONT AVE & BRADFORD ST, New York, NY 11207",40.667845,-73.884004
197,MANHATTAN,HAVEN AV BTW W 180 ST & W 181 ST,1741,DEFAULT RECORD,Phone,10,112,6,13,56,1,2017-01-27T21:54:26.000,2017-01-27T21:54:09.000,2017-01-27T21:58:42.000,First Alarm,MANHATTAN,Non-Medical MFA - Phone,NonMedical MFAs,2017-01-27T21:59:44.000,2017-01-27T21:53:13.000,329,273,1,0,34,1.70E+15,N,Y,10033,"HAVEN AV BTW W 180 ST & W 181 ST, New York, NY 10033",40.8493657,-73.935927
198,RICHMOND / STATEN ISLAND,PURDY AVE & BRADLEY AVE,1788,Initial Alarm,PD Link/Medical,50,501,31,11,12,1,2017-02-05T18:25:46.000,2017-02-05T18:25:22.000,NA,First Alarm,RICHMOND / STATEN ISLAND,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-02-05T18:27:42.000,2017-02-05T18:25:10.000,0,0,0,0,121,1.70E+15,N,N,10314,"PURDY AVE & BRADLEY AVE, New York, NY 10314",40.610257,-74.132328
199,BROOKLYN,ALBEMARLE RD & E18 ST,1541,Initial Alarm,UCT/911,40,314,17,9,5,0,2017-12-14T01:42:58.000,2017-12-14T01:42:31.000,2017-12-14T01:47:40.000,First Alarm,BROOKLYN,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-12-14T02:09:50.000,2017-12-14T01:42:26.000,314,309,1,0,70,1.73E+15,N,Y,11226,"ALBEMARLE RD & E18 ST, New York, NY 11226",40.647005,-73.962619
200,BRONX,BAINBRIDGE AVE AND 199 ST,4907,Initial Alarm,PD Link/Medical,11,207,10,13,5,1,2017-07-26T09:28:25.000,2017-07-26T09:28:04.000,2017-07-26T09:32:14.000,First Alarm,BRONX,Medical - Assist Civilian,Medical Emergencies,2017-07-26T09:55:27.000,2017-07-26T09:27:59.000,255,250,0,0,52,1.72E+15,N,Y,10458,"BAINBRIDGE AVE AND 199 ST, New York, NY 10458",40.8694793,-73.8862561
201,BROOKLYN,LAWRENCE AVE & SETON PL,2521,Initial Alarm,Verbal,44,314,20,9,25,1,2017-10-04T22:22:36.000,2017-10-04T22:22:36.000,2017-10-04T22:26:53.000,First Alarm,BROOKLYN,Odor - Other Than Smoke,NonMedical Emergencies,2017-10-04T22:38:41.000,2017-10-04T22:22:11.000,282,257,1,0,70,1.73E+15,N,Y,11230,"LAWRENCE AVE & SETON PL, New York, NY 11230",40.629979,-73.974997
202,BRONX,MORRIS AVE & E 170 ST,2751,Initial Alarm,PD Link/Medical,16,204,9,15,6,1,2017-11-10T03:20:33.000,2017-11-10T03:20:03.000,2017-11-10T03:23:54.000,First Alarm,BRONX,Medical - Assist Civilian,Medical Emergencies,2017-11-10T04:15:24.000,2017-11-10T03:19:57.000,237,231,0,0,44,1.73E+15,N,Y,10456,"MORRIS AVE & E 170 ST, New York, NY 10456",40.837781,-73.911435
203,MANHATTAN,5 AVE & 80 ST,1097,Initial Alarm,UCT/911,4,108,2,12,5,1,2017-07-27T22:16:27.000,2017-07-27T22:16:06.000,2017-07-27T22:21:48.000,First Alarm,MANHATTAN,Demolition Debris or Rubbish Fire,NonStructural Fires,2017-07-27T22:36:31.000,2017-07-27T22:16:01.000,347,342,0,0,19,1.72E+15,N,Y,10075,"5 AVE & 80 ST, New York, NY 10075",40.7314123,-73.9969848
204,BROOKLYN,COURT & SCHERMERHORN STS,530,Initial Alarm,Private Fire Alarm,33,302,15,7,97,1,2017-11-01T18:01:04.000,2017-11-01T18:00:54.000,2017-11-01T18:04:45.000,First Alarm,BROOKLYN,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,2017-11-01T18:30:57.000,2017-11-01T17:59:17.000,328,231,1,0,84,1.73E+15,N,Y,11201,"COURT & SCHERMERHORN STS, New York, NY 11201",40.689643,-73.988795
205,MANHATTAN,MADISON AVE & 39 ST,757,Initial Alarm,Private Fire Alarm,4,105,2,12,35,0,2017-12-02T15:26:48.000,2017-12-02T15:26:29.000,2017-12-02T15:39:14.000,First Alarm,MANHATTAN,Alarm System - Defective,NonMedical Emergencies,2017-12-02T15:51:22.000,2017-12-02T15:25:54.000,800,765,1,1,14,1.73E+15,N,Y,10016,"MADISON AVE & 39 ST, New York, NY 10016",40.7785833,-73.9604646
206,RICHMOND / STATEN ISLAND,GOETHALS BRIDGE TOLL PLAZA,8508,Initial Alarm,EMS Link/Medical,NA,NA,NA,NA,211,2,2017-12-25T12:40:09.000,2017-12-25T12:39:43.000,2017-12-25T12:45:03.000,First Alarm,RICHMOND / STATEN ISLAND,Vehicle Accident - Other,NonMedical Emergencies,2017-12-25T12:47:43.000,2017-12-25T12:36:12.000,531,320,2,2,NA,1.74E+15,N,N,NA,"GOETHALS BRIDGE TOLL PLAZA, New York, NY NA",40.6355006,-74.1970659
207,BRONX,IND B&D ? E 167 ST & GRAND CONCOURSE,7218,Initial Alarm,EMS Link/Medical,NA,NA,NA,NA,29,1,2017-02-19T13:25:07.000,2017-02-19T13:24:45.000,NA,First Alarm,BRONX,Medical - EMS Link 10-91,Medical Emergencies,2017-02-19T13:27:47.000,2017-02-19T13:24:16.000,0,0,0,0,NA,1.71E+15,N,N,NA,"IND B&D ? E 167 ST & GRAND CONCOURSE, New York, NY NA",40.834574,-73.917591
208,BRONX,WEEKS AVE & 174 ST,2921,Initial Alarm,Private Fire Alarm,15,204,9,15,48,3,2017-08-28T06:15:29.000,2017-08-28T06:15:00.000,2017-08-28T06:19:23.000,First Alarm,BRONX,Alarm System - Testing,NonMedical Emergencies,2017-08-28T06:25:36.000,2017-08-28T06:14:12.000,311,263,2,1,44,1.72E+15,N,Y,10457,"WEEKS AVE & 174 ST, New York, NY 10457",40.8451638,-73.9075203
209,MANHATTAN,RIVERSIDE BLVD & W 63 ST,1002,Initial Alarm,UCT/911,6,107,3,10,10,3,2017-02-05T19:25:24.000,2017-02-05T19:25:10.000,2017-02-05T19:27:43.000,First Alarm,MANHATTAN,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-02-05T19:52:16.000,2017-02-05T19:25:00.000,163,153,2,2,20,1.70E+15,N,Y,10069,"RIVERSIDE BLVD & W 63 ST, New York, NY 10069",40.7770587,-73.9890502
210,MANHATTAN,"HOUSTON ST, 250' W OF AVE D",414,Initial Alarm,PD Link/Medical,2,103,1,7,11,1,2017-04-17T17:18:46.000,2017-04-17T17:18:25.000,NA,First Alarm,MANHATTAN,Medical - PD Link 10-91,Medical Emergencies,2017-04-17T17:20:34.000,2017-04-17T17:18:14.000,0,0,0,0,7,1.71E+15,N,N,10002,"HOUSTON ST, 250' W OF AVE D, New York, NY 10002",40.7221498,-73.9853423
211,QUEENS,104 AVE & 215 ST,5447,Initial Alarm,PD Link/Medical,27,413,29,5,5,1,2017-07-08T22:28:05.000,2017-07-08T22:27:51.000,2017-07-08T22:32:36.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-07-08T22:42:57.000,2017-07-08T22:27:46.000,290,285,0,0,105,1.72E+15,N,Y,11429,"104 AVE & 215 ST, New York, NY 11429",40.711998,-73.743739
212,QUEENS,109 AVE & 139 ST,8821,Initial Alarm,EMS Link/Medical,28,412,28,5,7,1,2017-10-06T10:42:12.000,2017-10-06T10:41:54.000,2017-10-06T10:46:33.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-10-06T10:54:39.000,2017-10-06T10:41:47.000,286,279,0,0,103,1.73E+15,N,Y,11435,"109 AVE & 139 ST, New York, NY 11435",40.6891769,-73.835463
213,BROOKLYN,NOSTRAND AVE & PARK PL,3955,Initial Alarm,UCT/911,36,308,17,9,12,1,2017-03-07T23:05:11.000,2017-03-07T23:04:43.000,2017-03-07T23:09:43.000,First Alarm,BROOKLYN,Demolition Debris or Rubbish Fire,NonStructural Fires,2017-03-07T23:18:12.000,2017-03-07T23:04:31.000,312,300,0,0,77,1.71E+15,N,Y,11216,"NOSTRAND AVE & PARK PL, New York, NY 11216",40.6414193,-73.9485721
214,BRONX,EASTCHESTER RD & CHESTER ST,3659,DEFAULT RECORD,ERS No Contact,NA,NA,NA,NA,8,1,2017-11-24T04:57:08.000,2017-11-24T04:56:51.000,2017-11-24T05:03:07.000,First Alarm,BRONX,Non-Medical MFA - ERS No Contact,NonMedical MFAs,2017-11-24T05:05:09.000,2017-11-24T04:56:43.000,384,376,0,0,NA,1.73E+15,N,Y,NA,"EASTCHESTER RD & CHESTER ST, New York, NY NA",40.8639442,-73.843395
215,BROOKLYN,RIVERDALE & HINSDALE ST,1701,Initial Alarm,UCT/911,42,305,19,8,9,3,2017-01-28T22:35:24.000,2017-01-28T22:35:05.000,2017-01-28T22:37:26.000,First Alarm,BROOKLYN,Utility Emergency - Electric,NonMedical Emergencies,2017-01-28T22:51:15.000,2017-01-28T22:34:56.000,150,141,2,1,75,1.70E+15,N,Y,11207,"RIVERDALE & HINSDALE ST, New York, NY 11207",40.662524,-73.898287
216,BROOKLYN,COURT & BAY STS,1335,Initial Alarm,EMS Link/Medical,38,306,15,10,20,1,2017-05-21T18:57:18.000,2017-05-21T18:56:54.000,2017-05-21T18:58:42.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-05-21T19:10:44.000,2017-05-21T18:56:34.000,128,108,0,0,76,1.71E+15,N,Y,11231,"COURT & BAY STS, New York, NY 11231",40.67558,-74.00481
217,BROOKLYN,EASTERN PKWY & ROCKAWAY AVE,1654,Initial Alarm,Phone,41,316,23,8,84,0,2017-11-29T20:18:36.000,2017-11-29T20:18:19.000,2017-11-29T20:23:05.000,First Alarm,BROOKLYN,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-11-29T20:36:34.000,2017-11-29T20:16:55.000,370,286,1,0,73,1.73E+15,N,Y,11233,"EASTERN PKWY & ROCKAWAY AVE, New York, NY 11233",40.6693118,-73.9366428
218,BRONX,INWOOD AVE & GOBLE PL,2779,Initial Alarm,EMS Link/Medical,14,204,9,15,7,1,2017-11-07T12:23:41.000,2017-11-07T12:23:14.000,NA,First Alarm,BRONX,Medical - EMS Link 10-91,Medical Emergencies,2017-11-07T12:28:48.000,2017-11-07T12:23:07.000,0,0,0,0,44,1.73E+15,N,N,10452,"INWOOD AVE & GOBLE PL, New York, NY 10452",40.8411711,-73.9182738
219,MANHATTAN,7 AVE & W 35 ST,724,Initial Alarm,PD Link/Medical,3,105,2,12,13,1,2017-05-24T19:46:43.000,2017-05-24T19:46:20.000,NA,First Alarm,MANHATTAN,Medical - PD Link 10-91,Medical Emergencies,2017-05-24T19:48:23.000,2017-05-24T19:46:07.000,0,0,0,0,14,1.71E+15,N,N,10001,"7 AVE & W 35 ST, New York, NY 10001",40.667258,-73.9815295
220,BRONX,BRONXWOOD AVE & E 232 ST,3808,Initial Alarm,Private Fire Alarm,12,212,11,16,75,1,2017-03-25T15:49:02.000,2017-03-25T15:48:49.000,2017-03-25T15:53:42.000,First Alarm,BRONX,Utility Emergency - Electric,NonMedical Emergencies,2017-03-25T16:01:43.000,2017-03-25T15:47:34.000,368,293,1,0,47,1.71E+15,N,Y,10466,"BRONXWOOD AVE & E 232 ST, New York, NY 10466",40.876858,-73.8597735
221,QUEENS,17 AVE & 201 ST,6285,Initial Alarm,PD Link/Medical,19,407,25,3,27,1,2017-01-03T20:12:07.000,2017-01-03T20:11:57.000,2017-01-03T20:17:14.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-01-03T20:21:47.000,2017-01-03T20:11:30.000,344,317,0,0,109,1.70E+15,N,Y,11357,"17 AVE & 201 ST, New York, NY 11357",40.782484,-73.792444
222,QUEENS,GOLD RD & SITKA ST,2127,Initial Alarm,PD Link/Medical,32,410,27,8,29,1,2017-12-29T09:07:31.000,2017-12-29T09:06:55.000,2017-12-29T09:13:13.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-12-29T09:32:41.000,2017-12-29T09:06:26.000,407,378,0,0,106,1.74E+15,N,Y,11417,"GOLD RD & SITKA ST, New York, NY 11417",40.67455,-73.845554
223,QUEENS,133 AVE & 234 ST,8749,Initial Alarm,UCT/911,31,413,29,5,14,3,2017-11-04T20:47:36.000,2017-11-04T20:47:18.000,2017-11-04T20:50:53.000,First Alarm,QUEENS,Utility Emergency - Electric,NonMedical Emergencies,2017-11-04T21:06:18.000,2017-11-04T20:47:04.000,229,215,2,1,105,1.73E+15,N,Y,11422,"133 AVE & 234 ST, New York, NY 11422",40.724494,-73.9755878
224,BRONX,NORTH ST & GRAND AVE,3314,Initial Alarm,UCT/911,14,207,10,15,5,0,2017-01-24T07:03:15.000,2017-01-24T07:02:47.000,2017-01-24T07:08:38.000,First Alarm,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-01-24T07:16:40.000,2017-01-24T07:02:42.000,356,351,1,0,52,1.70E+15,N,Y,10468,"NORTH ST & GRAND AVE, New York, NY 10468",40.860287,-73.904939
225,MANHATTAN,ESSEX ST & BROOME ST,263,Initial Alarm,PD Link/Medical,1,103,1,12,7,1,2017-04-17T08:56:06.000,2017-04-17T08:54:39.000,2017-04-17T08:59:12.000,First Alarm,MANHATTAN,Medical - PD Link 10-91,Medical Emergencies,2017-04-17T09:00:10.000,2017-04-17T08:54:32.000,280,273,0,0,7,1.71E+15,N,Y,10002,"ESSEX ST & BROOME ST, New York, NY 10002",40.7184139,-73.9882752
226,MANHATTAN,ST. NICHOLAS AVE & 172 ST,1714,Initial Alarm,UCT/911,10,112,6,13,33,2,2017-02-10T14:03:29.000,2017-02-10T14:03:06.000,2017-02-10T14:06:31.000,First Alarm,MANHATTAN,Manhole Fire - Seeping Smoke,NonStructural Fires,2017-02-10T14:20:06.000,2017-02-10T14:02:33.000,238,205,1,1,33,1.70E+15,N,Y,10032,"ST. NICHOLAS AVE & 172 ST, New York, NY 10032",40.828552,-73.9422999
227,BRONX,STEUBEN AVE & MOSHOLU PKWY N.,3552,Initial Alarm,PD Link/Medical,11,207,10,13,12,1,2017-07-09T22:13:01.000,2017-07-09T22:12:39.000,2017-07-09T22:17:41.000,First Alarm,BRONX,Medical - Assist Civilian,Medical Emergencies,2017-07-10T00:01:59.000,2017-07-09T22:12:27.000,314,302,0,0,52,1.72E+15,N,Y,10467,"STEUBEN AVE & MOSHOLU PKWY N., New York, NY 10467",40.8786768,-73.8812858
228,BRONX,CRESTON AVE & 182 ST,3182,Initial Alarm,UCT/911,14,205,10,15,15,0,2017-01-05T03:11:08.000,2017-01-05T03:10:30.000,2017-01-05T03:15:28.000,First Alarm,BRONX,Utility Emergency - Water,NonMedical Emergencies,2017-01-05T06:26:20.000,2017-01-05T03:10:15.000,313,298,1,0,46,1.70E+15,N,Y,10453,"CRESTON AVE & 182 ST, New York, NY 10453",40.860716,-73.8992528
229,QUEENS,CENTREVILLE ST & LINDEN BLVD,5297,Initial Alarm,PD Link/Medical,32,410,27,5,8,1,2017-08-03T14:21:15.000,2017-08-03T14:19:30.000,2017-08-03T14:26:15.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-08-03T14:36:06.000,2017-08-03T14:19:22.000,413,405,0,0,106,1.72E+15,N,Y,11417,"CENTREVILLE ST & LINDEN BLVD, New York, NY 11417",40.674884,-73.836353
230,BROOKLYN,EAST NEW YORK AVE & EAST 96 ST,1626,DEFAULT RECORD,ERS,NA,NA,NA,NA,24,1,2017-11-20T19:21:22.000,2017-11-20T19:21:03.000,2017-11-20T19:22:43.000,First Alarm,BROOKLYN,Non-Medical MFA - ERS,NonMedical MFAs,2017-11-20T19:23:26.000,2017-11-20T19:20:39.000,124,100,0,0,NA,1.73E+15,N,Y,NA,"EAST NEW YORK AVE & EAST 96 ST, New York, NY NA",40.6487981,-73.9464468
231,QUEENS,74 ST & 52 RD,7020,Initial Alarm,PD Link/Medical,30,405,24,6,8,1,2017-10-11T20:46:32.000,2017-10-11T20:46:01.000,2017-10-11T20:54:55.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-10-11T21:09:42.000,2017-10-11T20:45:53.000,542,534,0,0,104,1.73E+15,N,Y,11378,"74 ST & 52 RD, New York, NY 11378",40.7706044,-73.9585293
232,BROOKLYN,AVENUE L & E 4 ST,2946,Initial Alarm,PD Link/Medical,44,312,21,10,5,1,2017-09-27T21:53:41.000,2017-09-27T21:53:22.000,2017-09-27T21:57:47.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-09-27T22:47:52.000,2017-09-27T21:53:17.000,270,265,0,0,66,1.73E+15,N,Y,11230,"AVENUE L & E 4 ST, New York, NY 11230",40.61915,-73.971864
233,BRONX,RODMAN'S NECK TRAFFIC CIR & CITY IS RD,4515,Initial Alarm,UCT/911,NA,NA,NA,NA,28,0,2017-02-01T23:39:50.000,2017-02-01T23:39:35.000,NA,First Alarm,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-02-01T23:40:00.000,2017-02-01T23:39:07.000,0,0,0,2,NA,1.70E+15,N,N,NA,"RODMAN'S NECK TRAFFIC CIR & CITY IS RD, New York, NY NA",40.8534336,-73.8009667
